,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
AFTNV,Saft Nv (AFTNV),Stock Prices for Saft Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,19/05/2016 16:22,13/05/2016,13/05/2016,,TRUE
AGCR,Agricole Crau (AGCR),Stock Prices for Agricole Crau from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,03/03/2016 15:58,14/02/2014,02/03/2016,,TRUE
AGFB,Agfa-gevaert (AGFB),Stock Prices for Agfa-gevaert from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AGKL,Aggreko (AGKL),Stock Prices for Aggreko from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,18/12/2013,18/12/2013,,TRUE
AGLM,Autogrill (AGLM),Stock Prices for Autogrill from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,16/04/2013,16/04/2013,,TRUE
AGN,Aegon (AGN),Stock Prices for Aegon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AGRDS,Agrogeneration Ds (AGRDS),Stock Prices for Agrogeneration Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,22/03/2015 15:58,10/03/2015,20/03/2015,,TRUE
AGRNV,Agrogeneration Nv (AGRNV),Stock Prices for Agrogeneration Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,29/06/2017 15:58,22/04/2016,27/06/2017,,TRUE
AGS,Ageas (AGS),Stock Prices for Ageas from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AGTA,Agta Record (AGTA),Stock Prices for Agta Record from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AH,Ahold Kon (AH),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,22/07/2016 15:58,14/02/2014,22/07/2016,,TRUE
AHO,Ahold Kon (AHO),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Amsterdam,30/03/2014 16:58,26/03/2014,28/03/2014,,TRUE
AHT,Ahold Kon (AHT),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,15/07/2016 15:58,15/07/2016,15/07/2016,,TRUE
AHTL,Ashtead Group (AHTL),Stock Prices for Ashtead Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,21/08/2013,21/08/2013,,TRUE
AI,Air Liquide (AI),Stock Prices for Air Liquide from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AIBI,Allied Irish Banks (AIBI),Stock Prices for Allied Irish Banks from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,22/12/2010,22/12/2010,,TRUE
AIDS,Air Liquide Ds (AIDS),Stock Prices for Air Liquide Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,28/09/2016 15:58,14/09/2016,28/09/2016,,TRUE
AIM5,Air Liquide Jun5 (AIM5),Stock Prices for Air Liquide Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 15:59,29/05/2014,29/05/2014,,TRUE
AIR,Airbus (AIR),Stock Prices for Airbus from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AJAX,Ajax (AJAX),Stock Prices for Ajax from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AKA,Akka Technologies (AKA),Stock Prices for Akka Technologies from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AKE,Arkema (AKE),Stock Prices for Arkema from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AKEDS,Arkema Ds (AKEDS),Stock Prices for Arkema Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,04/12/2014 01:19,20/11/2014,02/12/2014,,TRUE
AKENV,Arkema Nv18 (AKENV),Stock Prices for Arkema Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,24/05/2018 17:15,13/02/2014,22/05/2018,,TRUE
AKSOO,Aker Solutions (AKSOO),Stock Prices for Aker Solutions from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:35,29/01/2013,29/01/2013,,TRUE
AKW,Akwel (AKW),Stock Prices for Akwel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,05/06/2018,10/01/2019,,FALSE
AKZA,Akzo Nobel (AKZA),Stock Prices for Akzo Nobel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AL30T,Solutions 30 Se (AL30T),Stock Prices for Solutions 30 Se from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,22/07/2016 15:58,22/07/2016,22/07/2016,,TRUE
ALA2M,A2micile Europe (ALA2M),Stock Prices for A2micile Europe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,20/04/2018 17:15,14/02/2014,20/04/2018,,TRUE
ALABS,Adomos Bs (ALABS),Stock Prices for Adomos Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,08/01/2019,,TRUE
ALACI,Acces Industrie (ALACI),Stock Prices for Acces Industrie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,16/11/2017 17:15,13/02/2014,07/11/2017,,TRUE
ALACR,Acropolis Telecom (ALACR),Stock Prices for Acropolis Telecom from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,03/05/2016 15:58,26/02/2014,28/04/2016,,TRUE
ALACT,Actiplay (groupe) (ALACT),Stock Prices for Actiplay (groupe) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,24/03/2017,10/01/2019,,FALSE
ALADA,Ada (ALADA),Stock Prices for Ada from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALADM,Adthink (ALADM),Stock Prices for Adthink from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALADO,Adomos (ALADO),Stock Prices for Adomos from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALADS,Anevia Ds (ALADS),Stock Prices for Anevia Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,19/07/2015 15:58,03/07/2015,17/07/2015,,TRUE
ALADT,Adomos (ALADT),Stock Prices for Adomos from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,09/05/2017 15:58,09/05/2017,09/05/2017,,FALSE
ALAGR,Agrogeneration (ALAGR),Stock Prices for Agrogeneration from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALALO,Acheter-louer Fr (ALALO),Stock Prices for Acheter-louer Fr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ALANT,Antevenio (ALANT),Stock Prices for Antevenio from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
