,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
NEU,Neufcour-fin (NEU),Stock Prices for Neufcour-fin from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,19/02/2014,31/12/2018,,TRUE
NEVB2,Neovacs Bsa2 (NEVB2),Stock Prices for Neovacs Bsa2 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,30/07/2018 17:15,24/11/2017,26/07/2018,,FALSE
NEVDS,Neovac Ds (NEVDS),Stock Prices for Neovac Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,15/06/2016 15:58,02/06/2016,15/06/2016,,TRUE
NEWAY,Neways Electronics (NEWAY),Stock Prices for Neways Electronics from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NEWT,Newtree (NEWT),Stock Prices for Newtree from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Brussels,10/01/2019 17:15,14/02/2014,09/01/2019,,TRUE
NEX,Nexans (NEX),Stock Prices for Nexans from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NEXDS,Nextstage Ds (NEXDS),Stock Prices for Nextstage Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,27/10/2017 15:58,13/10/2017,27/10/2017,,FALSE
NEXL,National Exp Grp (NEXL),Stock Prices for National Exp Grp from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,29/08/2013,29/08/2013,,TRUE
NEXTS,Nextstage (NEXTS),Stock Prices for Nextstage from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,15/12/2016,10/01/2019,,TRUE
NGL,National Grid (NGL),Stock Prices for National Grid from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,14/02/2014,28/04/2014,,TRUE
NHHE,Nh Hoteles (NHHE),Stock Prices for Nh Hoteles from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,07/09/2011,07/09/2011,,TRUE
NHYO,Norsk Hydro (NHYO),Stock Prices for Norsk Hydro from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:33,08/02/2013,08/02/2013,,TRUE
NIBC,Nibc Holding (NIBC),Stock Prices for Nibc Holding from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,23/03/2018,10/01/2019,,FALSE
NICEM,Nice (NICEM),Stock Prices for Nice from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,28/05/2013,28/05/2013,,TRUE
NISTI,Nieuwe Steen Inv (NISTI),Stock Prices for Nieuwe Steen Inv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,31/12/2014 17:09,14/02/2014,31/12/2014,,TRUE
NK,Imerys (NK),Stock Prices for Imerys from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NKTC,Nkt Holding (NKTC),Stock Prices for Nkt Holding from the Euronext Stock Exchange. Currency: DKK. Market: Arca Europe,12/12/2014 20:29,25/02/2013,25/02/2013,,TRUE
NLFBS,Neolife Bs (NLFBS),Stock Prices for Neolife Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,03/10/2017,10/01/2019,,FALSE
NLFBT,Neolife Bsa (NLFBT),Stock Prices for Neolife Bsa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,30/08/2018,09/01/2019,,FALSE
NN,Nn Group (NN),Stock Prices for Nn Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,02/07/2014,10/01/2019,,TRUE
NOBNZ,Nobel Biocare Hold (NOBNZ),Stock Prices for Nobel Biocare Hold from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:29,26/09/2012,26/09/2012,,TRUE
NOK1VH,Nokia (NOK1VH),Stock Prices for Nokia from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,09/04/2013,09/04/2013,,TRUE
NOKA,Nokia (NOKA),Stock Prices for Nokia from the Euronext Stock Exchange. Currency: EUR. Market: Traded not listed Amsterdam,11/11/2015 16:18,14/02/2014,10/11/2015,,TRUE
NOKIA,Nokia (NOKIA),Stock Prices for Nokia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,19/11/2015,10/01/2019,,TRUE
NOS,Nos Sgps (NOS),Stock Prices for Nos Sgps from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,07/07/2014,10/01/2019,,TRUE
NOVI,Novisource (NOVI),Stock Prices for Novisource from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,20/02/2014,10/01/2019,,TRUE
NOVNZ,Novartis N (NOVNZ),Stock Prices for Novartis N from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:36,14/02/2014,02/05/2014,,TRUE
NOVOBC,Novo Nordisk B (NOVOBC),Stock Prices for Novo Nordisk B from the Euronext Stock Exchange. Currency: DKK. Market: Arca Europe,12/12/2014 20:32,26/02/2013,26/02/2013,,TRUE
NR21,Nr21 (NR21),Stock Prices for Nr21 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,26/03/2014,26/03/2014,,TRUE
NRE1VH,Nokian Renkaat (NRE1VH),Stock Prices for Nokian Renkaat from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,23/10/2013,23/10/2013,,TRUE
NRG,Nrj Group (NRG),Stock Prices for Nrj Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NRO,Neurones (NRO),Stock Prices for Neurones from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NRP,Nepi Rockcastle (NRP),Stock Prices for Nepi Rockcastle from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,18/07/2017,10/01/2019,,FALSE
NRX,Naturex (NRX),Stock Prices for Naturex from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,17/09/2018 17:15,14/02/2014,12/09/2018,,TRUE
NRXDS,Naturex Ds (NRXDS),Stock Prices for Naturex Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,17/06/2014 17:03,05/06/2014,16/06/2014,,TRUE
NSE,New Sources Energy (NSE),Stock Prices for New Sources Energy from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NSGO,Norske Skog (NSGO),Stock Prices for Norske Skog from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:31,31/07/2012,31/07/2012,,TRUE
NSGP,Nsc Groupe (NSGP),Stock Prices for Nsc Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,09/01/2017 15:58,14/02/2014,05/01/2017,,TRUE
NSI,Nsi N V (NSI),Stock Prices for Nsi N V from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,31/12/2014,10/01/2019,,TRUE
NSIT,Nsi (NSIT),Stock Prices for Nsi from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,19/06/2017 15:58,19/06/2017,19/06/2017,,FALSE
NTG,Netgem (NTG),Stock Prices for Netgem from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NTGL,Northgate (NTGL),Stock Prices for Northgate from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,22/07/2013,22/07/2013,,TRUE
NTGT,Netgem Ex (NTGT),Stock Prices for Netgem Ex from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,31/10/2017 15:58,26/10/2017,30/10/2017,,FALSE
NTON,Newton 21 Europe (NTON),Stock Prices for Newton 21 Europe from the Euronext Stock Exchange. Currency: EUR. Market: Marché Libre Brussels,30/09/2014 17:05,20/01/2014,26/09/2014,,TRUE
NUM,Numericable-sfr (NUM),Stock Prices for Numericable-sfr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/07/2016 15:58,14/02/2014,07/07/2016,,TRUE
NUMX5,Numericable Nov5 (NUMX5),Stock Prices for Numericable Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,29/10/2014,29/10/2014,,TRUE
NUO,Nutreco (NUO),Stock Prices for Nutreco from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,16/04/2015 15:59,14/02/2014,16/04/2015,,TRUE
NVG,The Navigator Comp (NVG),Stock Prices for The Navigator Comp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,28/04/2016,10/01/2019,,TRUE
NWRL,New World Resource (NWRL),Stock Prices for New World Resource from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,08/12/2011,08/12/2011,,TRUE
NXI,Nexity (NXI),Stock Prices for Nexity from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NXIM5,Nexity Jun5 (NXIM5),Stock Prices for Nexity Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 16:00,02/06/2014,02/06/2014,,TRUE
NXTBS,Nextradiotv Bsaar (NXTBS),Stock Prices for Nextradiotv Bsaar from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,05/02/2016 15:58,12/11/2014,01/02/2016,,TRUE
NXTDS,Nextedia Ds (NXTDS),Stock Prices for Nextedia Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,16/11/2016 15:58,02/11/2016,15/11/2016,,TRUE
NXTL,Next (NXTL),Stock Prices for Next from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,12/02/2014,30/04/2014,,TRUE
NXTV,Nextradiotv (NXTV),Stock Prices for Nextradiotv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,05/02/2016 15:58,14/02/2014,01/02/2016,,TRUE
NYR,Nyrstar (NYR),Stock Prices for Nyrstar from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
NYR7,Nyrstar (sub)c7 (NYR7),Stock Prices for Nyrstar (sub)c7 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,23/09/2014 17:06,12/09/2014,23/09/2014,,TRUE
NYR8,Nyrstar(sub)c8 (NYR8),Stock Prices for Nyrstar(sub)c8 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,22/02/2016 15:58,08/02/2016,19/02/2016,,TRUE
NYRT,Nyrstar (NYRT),Stock Prices for Nyrstar from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,06/06/2016 15:58,06/06/2016,06/06/2016,,TRUE
NYS,Dalenys (NYS),"Stock Prices for Dalenys from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels, Paris",23/02/2018 17:15,02/11/2015,23/02/2018,,TRUE
NZYMBC,Novozymes B (NZYMBC),Stock Prices for Novozymes B from the Euronext Stock Exchange. Currency: DKK. Market: Arca Europe,12/12/2014 20:33,05/02/2013,05/02/2013,,TRUE
O2IBS,O2i Bsa (O2IBS),Stock Prices for O2i Bsa from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,03/08/2017,03/01/2019,,FALSE
OBEL,Orange Belgium (OBEL),Stock Prices for Orange Belgium from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,09/05/2016,10/01/2019,,TRUE
OCDOL,Ocado Group (OCDOL),Stock Prices for Ocado Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,27/08/2013,18/03/2014,,TRUE
OCI,Oci (OCI),Stock Prices for Oci from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
OCPET,Occidental Petrol (OCPET),Stock Prices for Occidental Petrol from the Euronext Stock Exchange. Currency: USD. Market: Traded not listed Brussels,10/01/2019 17:15,26/11/2013,22/04/2016,,TRUE
OCTBS,Octo Techno Bsa (OCTBS),Stock Prices for Octo Techno Bsa from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,27/02/2017 15:58,25/02/2014,27/01/2017,,TRUE
OCTBT,Octo Techno Bsa (OCTBT),Stock Prices for Octo Techno Bsa from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,17/02/2017 16:09,18/01/2017,27/01/2017,,FALSE
OCTDS,Octo Technology Ds (OCTDS),Stock Prices for Octo Technology Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,08/04/2015 15:59,01/04/2015,08/04/2015,,TRUE
ODBS2,O2i Bsa 2 (ODBS2),Stock Prices for O2i Bsa 2 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,03/12/2018,10/01/2019,,FALSE
ODET,Financiere Odet (ODET),Stock Prices for Financiere Odet from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ODIBS,O2i Bsaar 2019 (ODIBS),Stock Prices for O2i Bsaar 2019 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,28/05/2014,09/01/2019,,TRUE
OERLZ,Oc Oerlikon Corpor (OERLZ),Stock Prices for Oc Oerlikon Corpor from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:30,20/02/2014,23/04/2014,,TRUE
OFP,Officiis Propertie (OFP),Stock Prices for Officiis Propertie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,25/07/2016,10/01/2019,,TRUE
OIM,Oim (OIM),Stock Prices for Oim from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,09/01/2019,,TRUE
OLEE,Deoleo Sa (OLEE),Stock Prices for Deoleo Sa from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,15/07/2009,15/07/2009,,TRUE
OLG,Ol Groupe (OLG),Stock Prices for Ol Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
OLGDS,Ol Groupe Ds (OLGDS),Stock Prices for Ol Groupe Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,09/06/2015 16:01,28/05/2015,09/06/2015,,TRUE
OLGNV,Ol Groupe Nv (OLGNV),Stock Prices for Ol Groupe Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/12/2015 15:58,01/09/2015,19/10/2015,,TRUE
OMVV,Omv (OMVV),Stock Prices for Omv from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,12/02/2013,12/02/2013,,TRUE
ONTEX,Ontex Group (ONTEX),Stock Prices for Ontex Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,25/06/2014,10/01/2019,,TRUE
ONXDS,Onxeo Ds (ONXDS),Stock Prices for Onxeo Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,04/12/2014 01:09,24/11/2014,02/12/2014,,TRUE
ONXEO,Onxeo (ONXEO),Stock Prices for Onxeo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,31/07/2014,10/01/2019,,TRUE
OPBSR,G Open Bsaar1014 (OPBSR),Stock Prices for G Open Bsaar1014 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,20/10/2014 17:06,21/01/2014,17/04/2014,,TRUE
OPHRL,Ophir Energy Plc (OPHRL),Stock Prices for Ophir Energy Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,30/08/2013,24/04/2014,,TRUE
OPN,Groupe Open (OPN),Stock Prices for Groupe Open from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
OPNBS,Gropen Bsaar0914 (OPNBS),Stock Prices for Gropen Bsaar0914 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,30/09/2014 17:04,13/02/2014,30/09/2014,,TRUE
OPTI,Crescent (OPTI),Stock Prices for Crescent from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
OR,L'oreal (OR),Stock Prices for L'oreal from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ORA,Orange (ORA),Stock Prices for Orange from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ORADS,Orapi Ds (ORADS),Stock Prices for Orapi Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/06/2015 16:00,16/07/2014,10/06/2015,,TRUE
ORAM5,Orange Jun5 (ORAM5),Stock Prices for Orange Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 16:00,16/06/2014,16/06/2014,,TRUE
ORANW,Oranjewoud A (ORANW),Stock Prices for Oranjewoud A from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,09/01/2019,,TRUE
ORAP,Orapi (ORAP),Stock Prices for Orapi from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ORAX5,Orange Nov5 (ORAX5),Stock Prices for Orange Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,18/11/2014,18/11/2014,,TRUE
ORC,Orco Property Grp (ORC),Stock Prices for Orco Property Grp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,17/02/2016 15:58,14/02/2014,16/02/2016,,TRUE
ORCBR,Orco Bsar 2019 (ORCBR),Stock Prices for Orco Bsar 2019 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,06/06/2013,06/06/2013,,TRUE
ORCOW,Orcobsaar1219 (ORCOW),"Stock Prices for Orcobsaar1219 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels, Paris",10/01/2019 17:15,16/12/2013,13/01/2016,,TRUE
ORDI,Ordina (ORDI),Stock Prices for Ordina from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ORE,Orey Antunes Esc (ORE),Stock Prices for Orey Antunes Esc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,18/02/2014,08/01/2019,,TRUE
OREGE,Orege (OREGE),Stock Prices for Orege from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ORIA,Fiducial Real Est (ORIA),Stock Prices for Fiducial Real Est from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ORIS,Oriflame Cosm Sdb (ORIS),Stock Prices for Oriflame Cosm Sdb from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:31,28/02/2013,28/02/2013,,TRUE
ORKO,Orkla Asa (ORKO),Stock Prices for Orkla Asa from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,12/12/2014 20:29,06/02/2013,06/02/2013,,TRUE
ORM5,L'oreal Jun5 (ORM5),Stock Prices for L'oreal Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 16:00,12/06/2014,12/06/2014,,TRUE
ORNBVH,Orion B (ORNBVH),Stock Prices for Orion B from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:28,12/02/2013,12/02/2013,,TRUE
ORNV,L'oreal Nv18 (ORNV),Stock Prices for L'oreal Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,24/04/2018 17:17,16/04/2014,24/04/2018,,TRUE
OROS,Orosdi (OROS),Stock Prices for Orosdi from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,02/10/2014 17:06,09/07/2013,02/10/2014,,TRUE
ORP,Orpea (ORP),Stock Prices for Orpea from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ORPBS,Orpeabsaaraug2015 (ORPBS),Stock Prices for Orpeabsaaraug2015 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/08/2015 15:58,14/02/2014,14/08/2015,,TRUE
ORPNV,Orpea Nv (ORPNV),Stock Prices for Orpea Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/07/2015 15:59,06/02/2015,30/06/2015,,TRUE
ORQ5,L'oreal Aug5 (ORQ5),Stock Prices for L'oreal Aug5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,19/07/2015 15:59,30/07/2014,30/07/2014,,TRUE
ORX5,L'oreal Nov5 (ORX5),Stock Prices for L'oreal Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,07/11/2014,07/11/2014,,TRUE
OSE,Ose Immuno (OSE),Stock Prices for Ose Immuno from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,30/03/2015,10/01/2019,,TRUE
OSI,Ausy (OSI),Stock Prices for Ausy from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,22/02/2017 15:58,14/02/2014,16/02/2017,,TRUE
OSIBR,Ausybsaar20oct16 (OSIBR),Stock Prices for Ausybsaar20oct16 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,20/10/2016 15:58,20/02/2014,20/10/2016,,TRUE
OSIBS,Ausybsa15oct15 (OSIBS),Stock Prices for Ausybsa15oct15 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,15/10/2015 15:58,14/02/2014,15/10/2015,,TRUE
OSIT,Ausy Ex (OSIT),Stock Prices for Ausy Ex from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/02/2017 15:58,19/01/2017,09/02/2017,,FALSE
OTCB,Otc (OTCB),Stock Prices for Otc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Brussels,13/10/2017 15:58,19/02/2014,12/10/2017,,TRUE
OTE1VH,Outotec (OTE1VH),Stock Prices for Outotec from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,15/05/2013,15/05/2013,,TRUE
OUT1VH,Outokumpu Oyj A (OUT1VH),Stock Prices for Outokumpu Oyj A from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,29/01/2013,29/01/2013,,TRUE
OVG,Overlap Groupe (OVG),Stock Prices for Overlap Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/12/2014 17:08,05/06/2013,05/06/2013,,TRUE
OVGBS,Ovgbsaar2015 (OVGBS),Stock Prices for Ovgbsaar2015 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/12/2014 17:08,23/05/2013,23/05/2013,,TRUE
OXI,Oxis Intl (OXI),Stock Prices for Oxis Intl from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/08/2017 15:58,17/02/2014,21/08/2017,,TRUE
OXIGL,Oxford Instruments (OXIGL),Stock Prices for Oxford Instruments from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:37,29/07/2013,29/07/2013,,TRUE
OXISD,Gt Biopharma Inc (OXISD),Stock Prices for Gt Biopharma Inc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,11/09/2017 15:58,21/08/2017,11/09/2017,,FALSE
OXIT,Oxis Intl (OXIT),Stock Prices for Oxis Intl from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,21/12/2015 15:58,15/12/2015,15/12/2015,,TRUE
OXUR,Oxurion (OXUR),Stock Prices for Oxurion from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,10/09/2018,10/01/2019,,FALSE
PAGL,Paragon Group (PAGL),Stock Prices for Paragon Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,30/07/2013,30/07/2013,,TRUE
PAH3D,Porsche Automobil (PAH3D),Stock Prices for Porsche Automobil from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,22/08/2013,22/08/2013,,TRUE
PALV,Palfinger (PALV),Stock Prices for Palfinger from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:35,14/09/2012,14/09/2012,,TRUE
PAOR,Paris-orleans (PAOR),Stock Prices for Paris-orleans from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,25/09/2015 15:58,14/02/2014,25/09/2015,,TRUE
PAR,Paref (PAR),Stock Prices for Paref from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,08/01/2019,,TRUE
PARD,Pairi Daiza (PARD),Stock Prices for Pairi Daiza from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Brussels,23/05/2016 15:58,14/02/2014,23/05/2016,,TRUE
PARDS,Parrot Ds (PARDS),Stock Prices for Parrot Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,04/12/2015 15:59,23/11/2015,03/12/2015,,TRUE
PARGZ,Pargesa Holding (PARGZ),Stock Prices for Pargesa Holding from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:32,24/01/2013,24/01/2013,,TRUE
PARNR,Groupepartouche Nr (PARNR),Stock Prices for Groupepartouche Nr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/09/2015 15:58,13/03/2015,16/09/2015,,TRUE
PARP,Groupe Partouche (PARP),Stock Prices for Groupe Partouche from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
PARPT,Groupepartouche Nr (PARPT),Stock Prices for Groupepartouche Nr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,17/03/2015 15:59,16/03/2015,16/03/2015,,TRUE
PARRO,Parrot (PARRO),Stock Prices for Parrot from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
PAT,Patrimoine Et Comm (PAT),Stock Prices for Patrimoine Et Comm from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
PATBS,Plant Advanced Bs (PATBS),Stock Prices for Plant Advanced Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,10/01/2019 17:15,23/02/2015,27/12/2018,,TRUE
PATDS,Plant Advanced Ds (PATDS),Stock Prices for Plant Advanced Ds from the Euronext Stock Exchange. Currency: EUR. Market: Marché Libre Paris,28/04/2014 17:01,22/04/2014,22/04/2014,,TRUE
